"STATION","NAME","DATE","TMAX","TMIN"
"SWE00138886","STOCKHOLM A, SW","2018-12-08","44","36"
"SWE00138886","STOCKHOLM A, SW","2018-12-09","43","39"
"SWE00138886","STOCKHOLM A, SW","2018-12-10","41","31"
"SWE00138886","STOCKHOLM A, SW","2018-12-11","39","32"
"SWE00138886","STOCKHOLM A, SW","2018-12-12","38","32"
"SWE00138886","STOCKHOLM A, SW","2018-12-13","34","31"
"SWE00138886","STOCKHOLM A, SW","2018-12-14","31","27"
"SWE00138886","STOCKHOLM A, SW","2018-12-15","28","25"
"SWE00138886","STOCKHOLM A, SW","2018-12-16","34","27"
"SWE00138886","STOCKHOLM A, SW","2018-12-17","32","29"
"SWE00138886","STOCKHOLM A, SW","2018-12-18","33","29"
"SWE00138886","STOCKHOLM A, SW","2018-12-19","36","29"
"SWE00138886","STOCKHOLM A, SW","2018-12-20","37","32"
"SWE00138886","STOCKHOLM A, SW","2018-12-21","33","29"
"SWE00138886","STOCKHOLM A, SW","2018-12-22","29","27"
"SWE00138886","STOCKHOLM A, SW","2018-12-23","27","23"
"SWE00138886","STOCKHOLM A, SW","2018-12-24","25","18"
"SWE00138886","STOCKHOLM A, SW","2018-12-25","39","21"
"SWE00138886","STOCKHOLM A, SW","2018-12-26","41","36"
"SWE00138886","STOCKHOLM A, SW","2018-12-27","38","33"
"SWE00138886","STOCKHOLM A, SW","2018-12-28","36","31"
"SWE00138886","STOCKHOLM A, SW","2018-12-29","33","27"
"SWE00138886","STOCKHOLM A, SW","2018-12-30","33","30"
"SWE00138886","STOCKHOLM A, SW","2018-12-31","35","26"
